alg,threads,read_ratio,record_size,req_per_query,total_count,zipf_theta,tput_1,tput_2,tput_3
Cicada,28,1.0,128.0,1.0,32768000.0,0.4,41877067.0,38851027.0,39218670.0
ERMIA,1,0.2,100.0,1.0,2048000.0,0.4,548252.0,590470.0,561139.0
Hekaton,28,0.2,128.0,100.0,512000.0,0.8,19771.0,19920.0,19961.0
TicToc,28,0.6,1000.0,10.0,8192000.0,0.0,2467596.0,1113969.0,1163580.0
Hekaton,1,1.0,8.0,1.0,2048000.0,0.4,1040270.0,1297963.0,1042222.0
2PL,4,0.2,8.0,1.0,512000.0,0.4,4428245.0,4502349.0,4415977.0
2PL,1,1.0,32.0,10.0,512000.0,0.8,230791.0,219938.0,239733.0
Cicada,4,1.0,8.0,100.0,512000.0,0.99,269570.0,279780.0,278606.0
TicToc,4,1.0,32.0,10.0,128000.0,0.99,2384457.0,2433089.0,2364244.0
TicToc,1,0.0,32.0,1.0,32768000.0,0.8,1325533.0,1366922.0,1347630.0
TicToc,16,0.6,8.0,100.0,128000.0,0.99,58615.0,58669.0,58693.0
Hekaton,16,0.2,128.0,100.0,32768000.0,0.8,31833.0,31823.0,31881.0
Hekaton,1,0.6,32.0,10.0,2048000.0,0.8,190421.0,188394.0,188405.0
ERMIA,1,0.2,100.0,1.0,32768000.0,0.4,470216.0,498931.0,499134.0
Silo,28,0.6,128.0,1.0,128000.0,0.99,8286692.0,8865828.0,6463700.0
Hekaton,4,0.6,32.0,100.0,32768000.0,0.4,47018.0,47036.0,47006.0
TicToc,4,0.6,1000.0,10.0,2048000.0,0.99,544818.0,542493.0,554580.0
TicToc,1,0.0,128.0,1.0,32768000.0,0.8,1506534.0,1315964.0,1321893.0
Cicada,28,0.0,1000.0,1.0,128000.0,0.4,22262876.0,22343607.0,22260283.0
TicToc,28,0.2,1000.0,1.0,32768000.0,0.8,21971235.0,21038119.0,21056448.0
TicToc,4,0.2,32.0,100.0,128000.0,0.4,95216.0,97674.0,95852.0
TicToc,1,1.0,8.0,1.0,128000.0,0.0,2096204.0,2068384.0,2070067.0
Cicada,1,0.0,8.0,1.0,128000.0,0.0,1866703.0,1848617.0,1958037.0
TicToc,1,0.6,128.0,1.0,512000.0,0.8,1685809.0,1683225.0,1709953.0
Hekaton,16,0.2,128.0,1.0,8192000.0,0.8,3997760.0,3997828.0,4032818.0
TicToc,16,0.2,128.0,10.0,2048000.0,0.4,2371474.0,2370963.0,2377613.0
TicToc,4,1.0,8.0,10.0,512000.0,0.4,986061.0,966939.0,1005741.0
Cicada,1,1.0,32.0,1.0,128000.0,0.8,3482913.0,2455746.0,2523637.0
MOCC,4,0.6,100.0,100.0,2048000.0,0.8,23786.32062976186,23212.484661362465,23127.472196459854
2PL,16,0.2,32.0,1.0,128000.0,0.8,19576468.0,15834104.0,16142217.0
Hekaton,1,0.2,128.0,10.0,8192000.0,0.0,132019.0,132674.0,132684.0
Hekaton,4,0.6,1000.0,1.0,128000.0,0.99,3246120.0,3276495.0,3437096.0
Hekaton,28,1.0,1000.0,100.0,512000.0,0.8,360903.0,361246.0,361525.0
Cicada,4,0.6,32.0,100.0,2048000.0,0.8,85325.0,88370.0,89060.0
