alg,nnodes,WH,dist,tput_1,tput_2,tput_3
Calvin,8,8,90,105326.2793134019,43799.13387444394,109063.76631018988
Calvin,8,8,100,106702.05656773734,101747.20583939874,100193.76028628323
Calvin,8,16,0,152812.8555667385,155157.61909297298,155065.4630028829
Calvin,8,16,10,143109.3769593874,142937.02591013693,142910.1296550018
Calvin,8,16,20,150528.85377559057,146075.30911661324,140208.43124396395
Calvin,8,16,30,149545.26357224616,133783.32599117118,148552.60725786453
Calvin,8,16,40,144519.5979282747,142700.80101755314,133548.58505030634
Calvin,8,16,50,136991.60723069072,135126.25171767944,130932.45846882883
Calvin,8,16,60,129507.19442731532,125626.90704856499,126699.46536225267
Calvin,8,16,70,125143.57168735134,121903.80525782434,126057.67873108108
Calvin,8,16,80,119192.9338098914,121619.11647955273,117388.94259756757
Calvin,8,16,90,115196.61517177278,113500.86881659881,116209.8369961208
Calvin,8,16,100,107876.49173469645,106922.27306108108,111793.48149400583
Calvin,8,32,0,157955.24579290673,158156.74674519233,157818.1422125496
Calvin,8,32,10,152550.4052404327,152964.1897041106,152387.44211057693
Calvin,8,32,20,142197.4212641209,146748.91958917092,149182.941171875
Calvin,8,32,30,140406.86825790026,140424.77119548077,140968.48251545176
Calvin,8,32,40,114546.07174832711,142291.94561915618,141462.66068290456
Calvin,8,32,50,111433.20791011905,120445.02096488846,113630.57204920673
Calvin,8,32,60,112357.58934247596,107833.41273620192,114778.94931609379
Calvin,8,32,70,111582.08721649038,110302.61956673078,107435.55762024039
Calvin,8,32,80,108932.74944004416,107849.86522048076,124887.68762385746
Calvin,8,32,90,105432.30288557692,106860.13409976612,106145.77570114087
Calvin,8,32,100,107693.20334575512,105361.26143975,117650.52852633593
Calvin,8,64,0,157898.83308080808,157853.2645536998,157213.5298032652
Calvin,8,64,10,156833.62950921172,157497.25409143761,121576.36556666666
Calvin,8,64,20,156761.8338043575,156532.42545454545,157707.74181363638
Calvin,8,64,30,117658.037785,155473.34857029596,156546.9812420719
Calvin,8,64,40,149850.71620209445,143773.40399070707,145640.39870159596
Calvin,8,64,50,139009.79586646467,135988.76499312898,145728.5564762039
Calvin,8,64,60,131014.69204852008,124294.5113435518,123939.6228358586
Calvin,8,64,70,120910.50974401514,125597.1538399495,119323.22604761904
Calvin,8,64,80,107954.04591997886,121950.22817263332,122393.51118103147
Calvin,8,64,90,110868.15142857144,90491.34944444444,116468.19316014799
Calvin,8,64,100,102983.70047449393,81523.78185555556,101084.0104414175
Calvin,8,128,0,167573.95,0.0,0.0
Calvin,8,128,10,138141.804,76582.63799799999,113.99999641666666
Calvin,8,128,20,0.0,39062.88,0.0
Calvin,8,128,30,162364.5894,132079.25333333333,0.0
Calvin,8,128,40,0.0,0.0,249.08332833333333
Calvin,8,128,50,160.6666616666667,0.0,287.83333333333337
Calvin,8,128,60,0.0,47609.6,0.0
Calvin,8,128,70,5946.991083333333,103714.5,9831.0
Calvin,8,128,80,128438.71666666667,130932.23749999999,133705.56341666667
Calvin,8,128,90,103156.20866666667,124659.08916666667,110936.28033333333
Calvin,8,128,100,5338.0,0.0,98065.82333333333
Calvin,16,1,0,0.0,201018.28702006172,201423.4687145062
Calvin,16,1,10,0.0,36610.352773148144,35919.500829878045
Calvin,16,1,20,0.0,12385.781047827162,31686.281871190746
Calvin,16,1,30,18512.128572874688,26587.722092592594,17633.428364074076
Calvin,16,1,40,17053.48949675926,34260.049635648145,11638.105858333336
Calvin,16,1,50,22610.00585030864,344.8739132716049,16339.834266975307
