keys,ReadRatio,nShard,nrep,nclients,tput_1,tput_2,tput_3
0.128,0.6,1,3,20,23235.28044983503,22907.408255829934,22985.335356042844
0.128,0.6,1,3,25,21870.83087286486,18310.65863439108,20902.57310674944
0.128,0.6,1,3,5,9959.365787586647,11981.644121206313,11307.740148131395
0.128,0.6,1,5,10,14606.216405702267,16495.93375233005,16705.925591807412
0.128,0.6,1,5,15,20416.709201902857,17370.28609147284,17912.94223018361
0.128,0.6,1,5,20,22902.686485124705,22371.86514239692,22057.03950415775
0.128,0.6,1,5,25,22657.754616517504,22241.003514078555,21799.315501493253
0.128,0.6,1,5,5,9428.980915742626,10142.810775722168,10181.744132769943
0.128,0.6,1,7,10,14767.776711216127,16020.506247997437,14962.444264895114
0.128,0.6,1,7,15,19607.262602694063,21455.32955715757,20988.351348515058
0.128,0.6,1,7,20,23148.683997314754,21685.858651573308,21605.738484141388
0.128,0.6,1,7,25,24045.397710878136,22063.365987114994,21908.204622631176
0.128,0.6,1,7,5,8882.414595583663,10212.73119070233,9619.36185153477
0.128,0.6,2,3,10,22939.988988805286,23606.619296050612,22977.413202821626
0.128,0.6,2,3,15,29605.648814281907,34037.57786173798,34629.289746164766
0.128,0.6,2,3,20,34456.61911653229,38204.3935052531,37887.398651208605
0.128,0.6,2,3,25,39475.76188220433,40322.58064516129,32350.943029989325
0.128,0.6,2,3,5,11521.533746572344,11845.253606879724,11295.733601418744
0.128,0.6,2,5,10,18773.349353258116,19872.419069573338,18397.233056148354
0.128,0.6,2,5,15,26115.53628790055,28650.54579835544,28186.994390732023
0.128,0.6,2,5,20,30424.729219909943,35752.59206292456,35549.23569143264
0.128,0.6,2,5,25,34996.85028347449,39015.254964691194,38035.82975162603
0.128,0.6,2,5,5,11434.844257421213,9413.005007718664,11567.246185700571
0.128,0.6,3,3,10,26763.729793384005,25164.82963410338,26278.446418247753
0.128,0.6,3,3,15,34895.13905851974,34817.3810104105,34969.57616449853
0.128,0.6,3,3,20,40268.99689928724,43557.80120219531,43389.59517507702
0.128,0.6,3,3,25,46087.19697667988,50484.65266558966,50367.684093885364
0.128,0.6,3,3,5,11258.345248415388,10923.350847105858,11307.868014564534
0.128,0.0,1,3,10,14073.208832345863,15529.155990371923,13221.042611420336
0.128,0.0,1,3,15,15225.646335150279,16167.725663287578,19042.713232913753
0.128,0.0,1,3,20,20193.45328244583,20080.321285140562,19633.250873679663
0.128,0.0,1,3,25,18757.854851719156,14471.151758968495,19644.821625019646
0.128,0.0,1,3,5,9080.013075218829,11830.259437589466,10515.578830036698
0.128,0.0,1,5,10,12884.77148857765,13985.427184873362,14422.938240978452
0.128,0.0,1,5,15,18073.850491613648,17044.606180436007,17163.96903589022
0.128,0.0,1,5,20,20072.260136491368,15878.056525881233,18762.78214533651
0.128,0.0,1,5,25,16126.431220770843,19836.546853923668,18431.141256266586
