WH,terminal,num_chunk,chunk_size,tput_1,tput_2,tput_3
16,8,2,2048,723.9267228085295,758.7735646168917,725.6758133121098
16,8,2,4096,705.5115604444383,763.8919199332169,736.7979043502806
16,8,2,8192,758.536142227364,724.633004615648,724.9489621751482
16,8,4,1024,714.592009539338,762.5971450523581,770.8143587071606
16,8,4,2048,778.4918724670023,739.0205933450077,764.030188827019
16,8,4,4096,729.9092742671885,734.6897614859323,787.6640705915287
16,8,4,8192,723.6665618676874,725.3931005081537,747.6457355782535
16,8,8,1024,706.6373205710113,743.3826561612925,770.48826760821
16,8,8,2048,717.8931505814503,767.6735892524649,730.558878531566
16,8,8,4096,710.2240075120984,772.8290190668564,780.4204533782269
16,8,8,8192,705.0787415080293,773.1571532513868,730.1593480117965
1,128,1,1024,343.3289380591569,337.1309071314282,334.34457371016174
1,128,1,2048,342.41456845291555,349.0790461888434,331.7987912238237
1,128,1,4096,339.9454356319564,347.6449695309382,337.39381819173786
1,128,1,8192,339.5953639346503,339.34871626077387,337.582368978659
1,128,2,1024,341.9652330458201,337.74929107549633,336.57739909233294
1,128,2,2048,334.36507192917435,333.24495531009615,335.24921995887746
1,128,2,4096,333.3806847238074,341.9987345476824,335.29477059746335
1,128,2,8192,340.3281743666037,334.39491755394107,330.22825080683657
1,128,4,1024,332.46293479238784,343.9145377153081,336.0611695460858
1,128,4,2048,334.38083718038376,342.5617669372018,339.6628871018567
1,128,4,4096,337.24432258176114,335.562926515844,335.0288320032066
1,128,4,8192,335.48246375160454,331.64543851547415,335.66560562209287
1,128,8,1024,333.06468441554415,339.24954016986493,338.2278153776478
1,128,8,2048,337.41505096031875,340.82917338262104,331.297173085395
1,128,8,4096,341.58066952786805,336.41086653963447,328.1311145326123
1,128,8,8192,332.2979687511298,339.96311588224046,320.11104044837157
1,16,1,1024,401.77767761610625,398.5782979209784,409.14250444794715
1,16,1,2048,397.198641554166,410.1759842854218,398.5474291631657
1,16,1,4096,401.89790537510015,399.9481699171641,410.6132472643194
1,16,1,8192,393.496618099874,392.5318823196037,391.85954657217445
1,16,2,1024,411.44930959491603,419.62777444727345,398.49389529269575
1,16,2,2048,409.43078784753453,407.2138512579681,411.6789781128107
1,16,2,4096,401.8457307440746,398.5433001284359,394.9165700964014
1,16,2,8192,394.23236754287933,413.26030090830653,408.04888461877636
1,16,4,1024,410.8991295375873,397.9308360852106,394.69914342391894
1,16,4,2048,397.01444275718103,395.7476352297931,395.2816106236059
1,16,4,4096,399.17874802693154,401.6813846296533,407.33279244290713
1,16,4,8192,411.3290070708137,416.3101294874734,403.18327240562115
1,16,8,1024,401.0276668257687,405.58143639515686,394.74403016760857
1,16,8,2048,386.0960441564556,383.96153626221013,390.02749419271504
1,16,8,4096,380.4959555626316,395.2646804748228,393.31566270221657
