alg,WH,Distributed,threads,tput_1,tput_2,tput_3
Aria,64,100,8,17349.8,17418.3,17410.5
Aria,128,0,8,23394.8,23524.3,23496.8
Aria,128,10,8,23538.3,23573.5,23434.8
Aria,128,20,8,23467.7,23554.3,23397.3
Aria,128,30,8,23385.6,23521.8,23406.4
Aria,128,40,8,23427.2,23409.7,23348.0
Aria,128,50,8,23508.1,23372.2,23503.3
Aria,128,60,8,23522.1,23513.5,23435.9
Aria,128,70,8,23541.8,23536.4,23488.3
Aria,128,80,8,23421.6,23505.6,23392.3
Aria,128,90,8,23473.5,23380.9,23509.2
Aria,128,100,8,23461.2,23553.2,23468.5
Aria,256,0,8,28901.0,28816.7,28779.3
Aria,256,10,8,28983.6,28894.7,28936.1
Aria,256,20,8,28917.4,28742.3,28802.3
Aria,256,30,8,29035.3,28952.5,28925.3
Aria,256,40,8,28936.9,28972.1,28715.3
Aria,256,50,8,28719.2,28922.8,28873.7
Aria,256,60,8,28914.0,28845.3,28789.0
Aria,256,70,8,28837.5,28822.5,28854.5
Aria,256,80,8,28808.7,28720.5,28852.9
Aria,256,90,8,28869.4,28890.6,28941.1
Aria,256,100,8,28659.7,28968.0,28783.1
Aria,512,0,8,32610.4,32794.9,32837.1
Aria,512,10,8,32574.6,32714.2,32791.5
Aria,512,20,8,32753.7,32774.6,32922.2
Aria,512,30,8,32805.6,32679.6,32677.0
Aria,512,40,8,32785.8,32605.6,32549.2
Aria,512,50,8,32670.9,32708.7,32453.5
Aria,512,60,8,32793.1,32747.1,32795.0
Aria,512,70,8,32694.7,32637.2,32746.2
Aria,512,80,8,32597.1,32603.4,32706.8
Aria,512,90,8,32691.3,32755.6,32745.1
Aria,512,100,8,32752.7,32786.4,32679.3
Aria,1024,0,8,34932.3,35053.8,35134.9
Aria,1024,10,8,35070.7,35205.9,35024.0
Aria,1024,20,8,34989.9,35062.7,34981.7
Aria,1024,30,8,35087.7,35028.3,35021.2
Aria,1024,40,8,35088.7,35127.9,35012.2
Aria,1024,50,8,35092.6,35070.3,35127.0
Aria,1024,60,8,35106.4,35120.2,34966.3
Aria,1024,70,8,35126.4,35035.3,35160.2
Aria,1024,80,8,34970.9,35039.4,34975.8
Aria,1024,90,8,34996.6,34929.2,35202.7
Aria,1024,100,8,34935.1,35021.5,35144.4
Aria,1,0,12,623.1,628.1,622.1
Aria,1,10,12,619.6,627.9,619.6
Aria,1,20,12,614.2,624.7,625.6
Aria,1,30,12,627.2,630.3,619.3
Aria,1,40,12,625.0,621.9,631.6
Aria,1,50,12,624.3,611.9,630.8
Aria,1,60,12,611.8,620.1,627.9
Aria,1,70,12,628.6,624.0,618.9
Aria,1,80,12,616.7,622.6,622.6
Aria,1,90,12,617.7,621.6,627.5
Aria,1,100,12,615.1,620.9,625.5
Aria,2,0,12,1259.3,1239.2,1242.0
Aria,2,10,12,1249.7,1232.5,1240.2
Aria,2,20,12,1238.8,1247.9,1227.6
Aria,2,30,12,1256.1,1243.5,1253.4
Aria,2,40,12,1239.3,1251.6,1259.6
Aria,2,50,12,1252.0,1220.9,1245.0
Aria,2,60,12,1259.6,1253.2,1238.6
Aria,2,70,12,1238.9,1251.4,1239.4
Aria,2,80,12,1237.3,1238.4,1253.3
Aria,2,90,12,1244.2,1248.5,1252.3
Aria,2,100,12,1245.0,1231.3,1253.2
Aria,4,0,12,2494.1,2489.4,2467.7
Aria,4,10,12,2492.5,2496.8,2481.5
Aria,4,20,12,2460.9,2468.1,2465.1
Aria,4,30,12,2496.0,2484.3,2459.1
Aria,4,40,12,2485.9,2436.0,2494.8
Aria,4,50,12,2467.3,2465.3,2454.9
Aria,4,60,12,2508.4,2475.4,2469.8
Aria,4,70,12,2455.9,2496.4,2452.3
Aria,4,80,12,2484.4,2472.6,2460.9
Aria,4,90,12,2461.8,2466.8,2433.5
Aria,4,100,12,2482.6,2483.8,2476.4
Aria,8,0,12,4952.3,4896.6,4937.3
Aria,8,10,12,4918.3,4971.3,4965.2
Aria,8,20,12,4909.6,4943.2,4933.2
Aria,8,30,12,4951.8,4966.8,4873.0
Aria,8,40,12,4965.9,4995.8,4835.4
Aria,8,50,12,4925.8,4945.6,4937.4
Aria,8,60,12,4933.4,4942.1,4897.0
Aria,8,70,12,4941.9,4943.7,4906.9
Aria,8,80,12,4937.5,4899.9,4929.0
Aria,8,90,12,4906.2,4877.1,4878.2
Aria,8,100,12,4972.4,4933.4,4892.9
Aria,16,0,12,9529.3,9538.7,9587.3
Aria,16,10,12,9470.6,9545.0,9596.8
Aria,16,20,12,9532.0,9500.2,9574.1
Aria,16,30,12,9552.0,9612.2,9485.1
Aria,16,40,12,9595.0,9528.8,9595.6
Aria,16,50,12,9523.2,9503.5,9536.6
Aria,16,60,12,9650.0,9581.8,9439.0
Aria,16,70,12,9534.8,9463.5,9487.8
Aria,16,80,12,9576.1,9449.7,9564.0
Aria,16,90,12,9578.6,9320.0,9550.5
Aria,16,100,12,9450.8,9509.9,9504.7
Aria,32,0,12,16315.3,16316.3,16549.5
Aria,32,10,12,16407.0,16589.5,16468.7
Aria,32,20,12,16547.9,16529.7,16520.4
Aria,32,30,12,16529.2,16495.1,16475.0
Aria,32,40,12,16435.4,16488.7,16539.4
Aria,32,50,12,16479.7,16512.4,16547.6
Aria,32,60,12,16542.4,16563.4,16539.3
Aria,32,70,12,16566.1,16555.5,16436.5
Aria,32,80,12,16183.3,16414.3,16470.9
Aria,32,90,12,16565.3,16509.3,16479.9
Aria,32,100,12,16386.8,16566.8,16504.5
Aria,64,0,12,24661.7,24781.1,24822.1
Aria,64,10,12,24384.5,24696.7,24812.4
Aria,64,20,12,24582.6,24805.2,24672.4
Aria,64,30,12,24760.8,24818.9,24767.5
Aria,64,40,12,24707.0,24518.0,24771.2
Aria,64,50,12,24843.6,24856.7,24723.3
Aria,64,60,12,24553.7,24762.7,24881.8
Aria,64,70,12,24802.2,24488.8,24920.8
Aria,64,80,12,24665.9,24747.5,24891.2
Aria,64,90,12,24938.8,24862.0,24930.8
Aria,64,100,12,24785.2,24850.3,24475.6
Aria,128,0,12,33627.3,33581.3,32995.0
Aria,128,10,12,33553.7,33272.6,33442.3
Aria,128,20,12,33388.0,33450.9,33470.1
Aria,128,30,12,33498.9,33472.8,33536.9
Aria,128,40,12,33383.3,33395.4,33383.7
Aria,128,50,12,33386.7,33334.8,33567.1
Aria,128,60,12,33378.4,33315.2,33449.8
Aria,128,70,12,33390.9,33472.7,33142.8
Aria,128,80,12,33460.8,33308.1,33401.8
Aria,128,90,12,33477.4,33357.5,33425.9
Aria,128,100,12,33493.6,33317.4,33426.3
