alg,trans,threads,warehouse,remote,tput_1,tput_2,tput_3
PartitionedStore,new_order,4,128,60,145673.0,144372.0,143745.0
PartitionedStore,new_order,4,128,70,128852.0,128483.0,129513.0
PartitionedStore,new_order,4,128,80,115633.0,115663.0,114179.0
PartitionedStore,new_order,4,128,90,104479.0,105862.0,104986.0
PartitionedStore,new_order,4,128,100,95707.7,96310.1,96321.7
PartitionedStore,new_order,4,256,0,264909.0,263914.0,262150.0
PartitionedStore,new_order,4,256,10,246526.0,244321.0,244109.0
PartitionedStore,new_order,4,256,20,230932.0,231658.0,231055.0
PartitionedStore,new_order,4,256,30,215510.0,213419.0,214043.0
PartitionedStore,new_order,4,256,40,200426.0,198534.0,200367.0
PartitionedStore,new_order,4,256,50,181287.0,182966.0,184329.0
PartitionedStore,new_order,4,256,60,167153.0,167789.0,168970.0
PartitionedStore,new_order,4,256,70,155645.0,153402.0,154461.0
PartitionedStore,new_order,4,256,80,142482.0,142181.0,140714.0
PartitionedStore,new_order,4,256,90,130807.0,131347.0,132378.0
PartitionedStore,new_order,4,256,100,121002.0,120424.0,122041.0
PartitionedStore,new_order,4,512,0,243852.0,244013.0,244343.0
PartitionedStore,new_order,4,512,10,229893.0,226857.0,229916.0
