alg,bench,thread_count,warehouse_count,tput_1,tput_2,tput_3
Silo,TPCC,28,8.0,2999562.0,3021563.0,3025158.0
FOEDUS,TPCC-FULL,28,8.0,608673.2566337169,616267.1373286267,619942.3002884985
ERMIA,TPCC-FULL,16,2.0,328079.0,303586.0,326980.0
Hekaton,TPCC-FULL,4,128.0,185035.0,186199.0,185475.0
TicToc,TPCC-FULL,1,64.0,59369.0,60728.0,59599.0
FOEDUS,TPCC-FULL,8,128.0,619136.3043184784,621238.2376176239,637553.2744672553
Silo,TPCC,1,2.0,265004.0,276545.0,264543.0
Cicada,TPCC-FULL,1,32.0,67200.0,67529.0,65359.0
Hekaton,TPCC,16,256.0,1718073.0,1688465.0,1703143.0
Cicada,TPCC,4,64.0,724885.5,785004.0,798872.0
Hekaton,TPCC,4,16.0,514047.0,510967.0,507286.0
Silo,TPCC-FULL,4,256.0,229459.0,228666.0,229442.0
Cicada,TPCC,4,8.0,1066833.0,1069321.0,1076864.0
TicToc,TPCC,16,1.0,889814.0,876407.0,880703.0
FOEDUS,TPCC-FULL,8,8.0,641909.6904515477,641644.1335586645,638723.5127648724
MOCC,TPCC-FULL,16,64.0,1200780.8960955197,796024.2897571025,838197.1680283197
Hekaton,TPCC,16,8.0,1286146.0,1285931.0,1278341.0
2PL,TPCC-FULL,28,32.0,1244086.0,1233425.0,1211103.0
TicToc,TPCC,4,2.0,839804.0,842566.0,843171.0
ERMIA,TPCC-FULL,2,64.0,97518.6,96602.8,96061.2
ERMIA,TPCC-FULL,28,1.0,79609.3,79179.2,82075.1
FOEDUS,TPCC-FULL,28,4.0,332468.6876565617,339101.9089809102,338943.9052804736
Hekaton,TPCC-FULL,16,256.0,649694.0,658144.0,659260.0
Cicada,TPCC,28,32.0,5851966.0,5849634.0,5882618.0
TicToc,TPCC-FULL,1,256.0,54781.0,56335.0,55225.0
Hekaton,TPCC-FULL,4,16.0,223828.0,222246.0,223759.0
Cicada,TPCC,1,1.0,365781.0,347091.0,359081.0
Silo,TPCC,28,128.0,4654093.0,4589842.0,4641236.0
FOEDUS,TPCC-FULL,28,128.0,2015699.9860002801,1930866.5913340866,1884854.3514564855
2PL,TPCC-FULL,1,128.0,45543.0,44999.0,45395.0
TicToc,TPCC,4,4.0,935402.0,946994.0,949748.0
Cicada,TPCC-FULL,1,16.0,73510.0,71796.0,73984.0
MOCC,TPCC-FULL,28,4.0,332496.4250357497,328950.9604903951,333073.61926380737
MOCC,TPCC-FULL,16,2.0,182700.27299727002,185723.24276757232,186872.2312776872
TicToc,TPCC,28,1.0,999759.0,1013634.0,1008996.0
Silo,TPCC-FULL,28,256.0,1474804.0,1464300.0,1463809.0
Silo,TPCC,28,64.0,4781847.0,4816148.0,4775515.0
Hekaton,TPCC,28,8.0,1447635.0,1233909.0,1160063.0
Hekaton,TPCC,16,16.0,1851889.0,1382854.0,1419578.0
FOEDUS,TPCC-FULL,8,256.0,575448.6227568862,630210.4478955211,629120.9043954781
Hekaton,TPCC,28,16.0,2309937.0,2281225.0,2278956.0
Cicada,TPCC-FULL,1,8.0,80070.0,77958.0,81653.0
Hekaton,TPCC-FULL,16,128.0,671069.0,662165.0,662546.0
Silo,TPCC,1,4.0,232844.0,241840.0,231603.0
2PL,TPCC,16,1.0,205172.0,204849.0,203916.0
TicToc,TPCC-FULL,1,8.0,74992.0,76905.0,75302.0
TicToc,TPCC,1,8.0,198117.0,200335.0,208922.0
Cicada,TPCC,16,16.0,3718756.0,3706730.0,3700392.0
Silo,TPCC-FULL,4,1.0,95627.0,12408.0,95651.0
TicToc,TPCC,28,32.0,4622981.0,4668006.0,4656182.0
2PL,TPCC-FULL,16,1.0,90930.0,91016.0,90805.0
TicToc,TPCC,1,2.0,251475.0,251480.0,251690.0
2PL,TPCC,1,32.0,136458.0,143948.0,141707.0
Hekaton,TPCC,16,4.0,790501.0,789610.0,790118.0
FOEDUS,TPCC-FULL,4,4.0,290108.49945750274,358216.6589167054,350940.9405905941
2PL,TPCC,28,64.0,3482035.0,3271934.0,3242645.0
2PL,TPCC,4,256.0,508269.0,490732.0,514984.0
2PL,TPCC,28,4.0,712781.0,708230.0,709946.0
TicToc,TPCC,4,16.0,746449.0,747884.0,751948.0
2PL,TPCC-FULL,16,8.0,462101.0,456519.0,457431.0
MOCC,TPCC-FULL,8,2.0,184235.8576414236,186591.41704291478,184167.70832291676
Cicada,TPCC,4,2.0,1109515.0,1069569.0,1111526.0
2PL,TPCC-FULL,28,1.0,97345.0,97322.0,97169.0
TicToc,TPCC-FULL,28,32.0,1679682.0,1677081.0,1677101.0
TicToc,TPCC,1,64.0,169297.0,169347.0,174711.0
Cicada,TPCC,4,32.0,879999.0,850282.0,846193.0
Cicada,TPCC,4,1.0,665145.0,677579.0,660834.0
TicToc,TPCC-FULL,16,8.0,760243.0,762832.0,763362.0
Hekaton,TPCC-FULL,1,2.0,66342.0,69181.0,69128.0
Cicada,TPCC,28,8.0,5114732.0,2697593.0,2631005.0
Silo,TPCC-FULL,1,64.0,61508.0,62916.0,62514.0
TicToc,TPCC-FULL,1,2.0,85236.0,81997.0,84091.0
Silo,TPCC-FULL,1,32.0,67518.0,66923.0,66720.0
FOEDUS,TPCC-FULL,4,128.0,347483.0125849371,340329.546704533,348389.916100839
FOEDUS,TPCC-FULL,4,8.0,349982.8000859996,344534.8546514535,348976.8102318977
Cicada,TPCC,1,16.0,225376.0,230234.0,227732.0
FOEDUS,TPCC-FULL,8,64.0,638957.9552102239,633183.3681663184,634971.5002849972
Silo,TPCC,28,2.0,992375.0,993048.0,995084.0
2PL,TPCC,1,8.0,158403.0,156328.0,158955.0
Hekaton,TPCC-FULL,4,2.0,180151.0,180407.0,182769.0
2PL,TPCC,28,32.0,3587840.0,3501583.0,3575039.0
Silo,TPCC-FULL,28,64.0,1627650.0,1632876.0,1626858.0
Cicada,TPCC,1,4.0,279320.0,268759.0,283446.0
ERMIA,TPCC-FULL,28,32.0,928022.0,926877.0,920591.0
Hekaton,TPCC-FULL,16,2.0,209927.0,209336.0,210434.0
FOEDUS,TPCC-FULL,4,1.0,93749.43125284374,96576.41711791442,97037.9796202038
Hekaton,TPCC-FULL,1,8.0,59667.0,60225.0,60566.0
ERMIA,TPCC-FULL,4,2.0,167681.0,169808.0,168690.0
Hekaton,TPCC,28,2.0,492210.0,492051.0,491300.0
2PL,TPCC,28,1.0,210840.0,211671.0,210819.0
Hekaton,TPCC,4,8.0,560494.0,553301.0,555872.0
TicToc,TPCC-FULL,16,64.0,917874.0,915990.0,902277.0
Cicada,TPCC,16,1.0,1184278.0,1179144.0,1177033.0
Silo,TPCC-FULL,16,256.0,861987.0,857345.0,866346.0
Silo,TPCC,16,16.0,3111959.0,3136696.0,3113249.0
Silo,TPCC-FULL,16,16.0,1109554.0,1106054.0,1106958.0
Hekaton,TPCC,16,64.0,1768608.0,1760039.0,1785518.0
Silo,TPCC-FULL,1,16.0,73572.0,70629.0,72135.0
Hekaton,TPCC,1,16.0,128371.0,128069.0,128769.0
Hekaton,TPCC,28,1.0,17365.0,21201.0,19553.0
FOEDUS,TPCC-FULL,16,8.0,627466.8126659367,587755.2112239439,633906.5609343906
Hekaton,TPCC-FULL,28,8.0,707614.0,708986.0,708565.0
Silo,TPCC,4,16.0,774440.0,798880.0,815145.0
Hekaton,TPCC,4,128.0,472108.0,478845.0,481160.0
Cicada,TPCC-FULL,28,32.0,1846756.0,1830785.0,1842048.0
TicToc,TPCC,4,8.0,829233.0,841147.0,825357.0
Hekaton,TPCC-FULL,4,8.0,238169.0,239219.0,242702.0
ERMIA,TPCC-FULL,2,2.0,95258.0,104494.0,103645.0
Hekaton,TPCC,1,32.0,126209.0,126533.0,126032.0
Hekaton,TPCC-FULL,28,64.0,1174032.0,437482.0,543677.0
TicToc,TPCC-FULL,1,32.0,65254.0,64069.0,65005.0
Cicada,TPCC-FULL,16,16.0,1143041.0,1144176.0,1149188.0
FOEDUS,TPCC-FULL,8,2.0,190154.89922550388,192769.67230327698,189937.45031274843
FOEDUS,TPCC-FULL,8,16.0,620707.9464602678,638555.2144478555,637302.0134899325
MOCC,TPCC-FULL,28,32.0,2058142.3185768144,1990145.8485415147,2055145.9985400147
Hekaton,TPCC-FULL,1,64.0,49993.0,50273.0,49316.0
Cicada,TPCC-FULL,4,4.0,341102.0,315846.0,310957.0
TicToc,TPCC,16,128.0,2496915.0,2497212.0,2529878.0
Cicada,TPCC-FULL,1,2.0,90673.0,86795.0,83760.0
Silo,TPCC-FULL,1,8.0,80397.0,80011.0,80570.0
Cicada,TPCC-FULL,4,64.0,239351.0,257805.0,257950.0
Hekaton,TPCC,1,2.0,161210.0,158731.0,166945.0
TicToc,TPCC,28,16.0,4299766.0,4279254.0,4278138.0
MOCC,TPCC-FULL,16,8.0,631747.6825231748,627288.2771172288,634020.909790902
TicToc,TPCC-FULL,4,4.0,317246.0,317207.0,314168.0
TicToc,TPCC,4,1.0,548249.0,551499.0,552787.0
FOEDUS,TPCC-FULL,16,128.0,1147332.1633391834,770385.9961400386,827035.7796422036
Cicada,TPCC-FULL,4,32.0,279638.0,287382.0,284292.0
Silo,TPCC-FULL,4,4.0,318389.0,322883.0,310682.0
TicToc,TPCC,4,256.0,638457.0,629927.0,639138.0
2PL,TPCC-FULL,28,2.0,182841.0,182698.0,183279.0
Silo,TPCC,1,64.0,179275.0,176294.0,176568.0
Silo,TPCC-FULL,4,128.0,241134.0,241463.0,242106.0
2PL,TPCC,1,16.0,154208.0,150380.0,143569.0
Cicada,TPCC-FULL,4,16.0,294508.0,307318.0,308420.0
Cicada,TPCC,28,64.0,5034803.5,5508184.5,5505959.0
Cicada,TPCC-FULL,28,16.0,1710883.0,801397.0,1686195.0
Silo,TPCC,4,32.0,743541.0,697754.0,713445.0
2PL,TPCC,4,64.0,528790.0,516645.0,512132.0
Hekaton,TPCC,1,128.0,124179.0,126189.0,122138.0
2PL,TPCC-FULL,4,64.0,191378.0,192042.0,195330.0
MOCC,TPCC-FULL,8,32.0,642533.8373308134,642228.977710223,585229.147708523
TicToc,TPCC-FULL,16,256.0,830290.0,829815.0,827448.0
2PL,TPCC,16,8.0,1222665.0,1201502.0,1224123.0
MOCC,TPCC-FULL,16,128.0,1190801.5919840802,1065328.846711533,1205445.4455455446
FOEDUS,TPCC-FULL,16,1.0,93818.93090534548,96720.06639966801,96570.13429865701
Hekaton,TPCC,1,8.0,134467.0,136818.0,134089.0
ERMIA,TPCC-FULL,1,2.0,55548.4,55449.0,55950.3
2PL,TPCC-FULL,4,128.0,183341.0,181995.0,184254.0
Silo,TPCC-FULL,28,128.0,1531302.0,781289.0,789261.0
TicToc,TPCC-FULL,28,16.0,1342932.0,1323224.0,1338024.0
Silo,TPCC-FULL,1,4.0,82490.0,81905.0,84237.0
Hekaton,TPCC-FULL,28,128.0,1130590.0,1118410.0,1120495.0
MOCC,TPCC-FULL,28,2.0,182546.77453225467,179589.30410695894,179774.25225747743
Hekaton,TPCC-FULL,28,4.0,399192.0,397731.0,397246.0
Silo,TPCC,4,1.0,424625.0,432490.0,423147.0
MOCC,TPCC-FULL,4,8.0,331426.7357326427,285401.29598704015,349485.9051409486
TicToc,TPCC-FULL,4,1.0,92206.0,92930.0,92833.0
Silo,TPCC-FULL,1,128.0,58914.0,55354.0,58939.0
Hekaton,TPCC-FULL,28,256.0,1099667.0,1088610.0,1102494.0
2PL,TPCC,1,2.0,194019.0,205728.0,180637.0
Silo,TPCC,4,64.0,720881.0,720311.0,716781.0
2PL,TPCC-FULL,4,1.0,71718.0,71650.0,71650.0
ERMIA,TPCC-FULL,1,8.0,57364.0,56800.5,57129.3
ERMIA,TPCC-FULL,8,64.0,335242.0,334168.0,336307.0
ERMIA,TPCC-FULL,16,4.0,487765.0,486865.0,479220.0
2PL,TPCC-FULL,16,128.0,665309.0,669938.0,664351.0
Silo,TPCC-FULL,16,1.0,65800.0,65879.0,65832.0
Hekaton,TPCC-FULL,16,32.0,739395.0,542857.0,552482.0
MOCC,TPCC-FULL,16,4.0,345004.02497987513,326371.1681441593,329421.70289148553
Cicada,TPCC-FULL,28,1.0,276558.0,273318.0,273563.0
FOEDUS,TPCC-FULL,28,2.0,188326.9667303327,187669.77330226699,186053.41973290133
MOCC,TPCC-FULL,4,1.0,93545.38227308863,93242.81757182429,96512.88487115128
TicToc,TPCC-FULL,16,1.0,56151.0,56235.0,56066.0
TicToc,TPCC-FULL,28,2.0,172510.0,174058.0,173618.0
FOEDUS,TPCC-FULL,4,32.0,326108.8889111109,352097.28951355244,286422.21788891056
TicToc,TPCC,4,64.0,674998.0,645061.0,664037.0
ERMIA,TPCC-FULL,8,1.0,182771.0,181076.0,180462.0
Silo,TPCC,1,16.0,201033.0,193154.0,193329.0
Silo,TPCC,1,256.0,163038.0,165619.0,167821.0
Hekaton,TPCC-FULL,4,256.0,177880.0,180296.0,184024.0
Silo,TPCC-FULL,16,128.0,906538.0,633661.0,665125.0
