partition_num,threads,zipf,rw,servers,cross,tput
32,2,0.0,60,2,80,128310.66666666667
32,2,0.0,60,2,100,109929.33333333333
32,2,0.0,60,4,0,242123.0
32,2,0.0,60,4,20,189522.66666666666
32,2,0.0,60,4,40,168106.0
32,2,0.0,60,4,60,151580.66666666666
32,2,0.0,60,4,80,130715.66666666667
32,2,0.0,60,4,100,112324.66666666667
32,2,0.0,60,8,0,
32,2,0.0,60,8,20,
32,2,0.0,60,8,40,
32,2,0.0,60,8,60,161168.0
32,2,0.0,60,8,80,133809.0
32,2,0.0,60,8,100,
32,2,0.0,100,2,0,968448.0
32,2,0.0,100,2,20,653203.6666666666
32,2,0.0,100,2,40,519609.0
32,2,0.0,100,2,60,435515.0
32,2,0.0,100,2,80,372171.0
32,2,0.0,100,2,100,332609.3333333333
32,2,0.0,100,4,0,1891230.0
32,2,0.0,100,4,20,921395.6666666666
32,2,0.0,100,4,40,631833.0
32,2,0.0,100,4,60,484116.0
32,2,0.0,100,4,80,383655.0
32,2,0.0,100,4,100,331994.0
32,2,0.0,100,8,0,
32,2,0.0,100,8,20,1160090.0
32,2,0.0,100,8,40,
32,2,0.0,100,8,60,
32,2,0.0,100,8,80,402736.0
32,2,0.0,100,8,100,
32,2,0.4,0,2,0,88356.76666666666
32,2,0.4,0,2,20,66249.96666666666
32,2,0.4,0,2,40,69333.36666666667
32,2,0.4,0,2,60,54711.46666666667
32,2,0.4,0,2,80,48045.13333333333
32,2,0.4,0,2,100,44524.46666666667
32,2,0.4,0,4,0,104814.0
32,2,0.4,0,4,20,85928.23333333334
32,2,0.4,0,4,40,75111.7
32,2,0.4,0,4,60,69657.83333333333
32,2,0.4,0,4,80,64635.76666666666
32,2,0.4,0,4,100,56914.5
32,2,0.4,0,8,0,
32,2,0.4,0,8,20,
32,2,0.4,0,8,40,
32,2,0.4,0,8,60,
32,2,0.4,0,8,80,
32,2,0.4,0,8,100,
32,2,0.4,20,2,0,103253.0
32,2,0.4,20,2,20,79917.73333333334
32,2,0.4,20,2,40,81943.53333333333
32,2,0.4,20,2,60,74194.59999999999
32,2,0.4,20,2,80,70555.23333333334
32,2,0.4,20,2,100,61493.4
32,2,0.4,20,4,0,128728.33333333333
32,2,0.4,20,4,20,105381.66666666667
32,2,0.4,20,4,40,90905.86666666665
32,2,0.4,20,4,60,87804.39999999998
32,2,0.4,20,4,80,75344.83333333333
32,2,0.4,20,4,100,65954.26666666666
32,2,0.4,20,8,0,
32,2,0.4,20,8,20,
32,2,0.4,20,8,40,
32,2,0.4,20,8,60,
32,2,0.4,20,8,80,
32,2,0.4,20,8,100,
32,2,0.4,60,2,0,176754.66666666666
32,2,0.4,60,2,20,149050.0
32,2,0.4,60,2,40,129782.66666666667
32,2,0.4,60,2,60,126590.66666666667
32,2,0.4,60,2,80,117031.66666666667
32,2,0.4,60,2,100,101043.13333333335
32,2,0.4,60,4,0,231185.33333333334
32,2,0.4,60,4,20,177606.33333333334
32,2,0.4,60,4,40,159553.0
32,2,0.4,60,4,60,139506.0
32,2,0.4,60,4,80,120249.66666666667
32,2,0.4,60,4,100,105043.0
32,2,0.4,60,8,0,
32,2,0.4,60,8,20,
32,2,0.4,60,8,40,
32,2,0.4,60,8,60,
32,2,0.4,60,8,80,
32,2,0.4,60,8,100,
