keys,ReadRatio,nShard,nrep,nclients,tput
32.768,0.0,2,5,25,32601.53944073334
32.768,0.0,3,3,5,21250.26827348411
32.768,0.0,3,3,10,23781.21156031158
32.768,0.0,3,3,15,27352.637660171353
32.768,0.0,3,3,20,34234.5734790152
32.768,0.0,3,3,25,42755.3114112986
32.768,0.2,1,3,5,10912.548993709512
32.768,0.2,1,3,10,13094.283982915787
32.768,0.2,1,3,15,17918.899736773423
32.768,0.2,1,3,20,18501.59325430926
32.768,0.2,1,3,25,17640.715321168453
32.768,0.2,1,5,5,9664.13090086419
32.768,0.2,1,5,10,12682.853159797387
32.768,0.2,1,5,15,18887.872104564944
32.768,0.2,1,5,20,20350.813739741843
32.768,0.2,1,5,25,19786.646365146913
32.768,0.2,1,7,5,8944.636739687596
32.768,0.2,1,7,10,12008.313069028069
32.768,0.2,1,7,15,17083.274959700677
32.768,0.2,1,7,20,19116.039334969617
32.768,0.2,1,7,25,17918.52987646413
32.768,0.2,2,3,5,9974.997350844502
32.768,0.2,2,3,10,18126.503688399658
32.768,0.2,2,3,15,20912.994151152383
32.768,0.2,2,3,20,26082.89477301488
32.768,0.2,2,3,25,28203.422628585275
32.768,0.2,2,5,5,10427.886470341
32.768,0.2,2,5,10,16017.899289642557
32.768,0.2,2,5,15,24159.066565497997
32.768,0.2,2,5,20,23290.463253692436
32.768,0.2,2,5,25,31322.464944454987
32.768,0.2,3,3,5,10674.602223550412
32.768,0.2,3,3,10,23898.074208049457
32.768,0.2,3,3,15,32776.30885228076
32.768,0.2,3,3,20,37213.777014672065
32.768,0.2,3,3,25,41221.50095146481
32.768,0.6,1,3,5,10091.398078284567
32.768,0.6,1,3,10,14183.467629062245
32.768,0.6,1,3,15,19226.652224183694
32.768,0.6,1,3,20,18463.056292154968
32.768,0.6,1,3,25,20981.785131530272
32.768,0.6,1,5,5,9470.923855367053
32.768,0.6,1,5,10,14171.157667903162
32.768,0.6,1,5,15,17470.70625844753
32.768,0.6,1,5,20,20689.332287013567
32.768,0.6,1,5,25,18688.576854766663
32.768,0.6,1,7,5,9747.148391588513
32.768,0.6,1,7,10,13428.213934724117
32.768,0.6,1,7,15,18475.213804803516
32.768,0.6,1,7,20,20292.147937055775
32.768,0.6,1,7,25,18804.145074641157
32.768,0.6,2,3,5,10991.208684779202
32.768,0.6,2,3,10,19609.033731761137
32.768,0.6,2,3,15,23642.602921339032
32.768,0.6,2,3,20,30227.084054123687
32.768,0.6,2,3,25,32392.520620760097
32.768,0.6,2,5,5,10948.301829199607
32.768,0.6,2,5,10,16574.193681590663
