num_keys,value_size,put_percent,zipf,tput
8192,1024,60,0.99,7413234.68595
8192,1024,80,0.0,6782973.699219
8192,1024,80,0.4,6607792.450293335
8192,1024,80,0.8,6609901.697684665
8192,1024,80,0.99,6608987.066207
8192,1024,100,0.0,5933833.506972666
8192,1024,100,0.4,5936163.314624667
8192,1024,100,0.8,5937077.156220667
8192,1024,100,0.99,5936183.656502999
32768,8,0,0.0,23106100.813809667
32768,8,0,0.4,23056843.564266
32768,8,0,0.8,23134087.876151
32768,8,0,0.99,23016117.550467
32768,8,20,0.0,23075889.767643664
32768,8,20,0.4,23030900.258896332
32768,8,20,0.8,22403254.256755996
32768,8,20,0.99,23093971.99423933
32768,8,40,0.0,23115234.627879333
32768,8,40,0.4,21681649.745521
32768,8,40,0.8,23108288.875762332
32768,8,40,0.99,23051065.195891995
32768,8,60,0.0,23064424.72765
32768,8,60,0.4,23130094.015117332
32768,8,60,0.8,21980727.304491334
32768,8,60,0.99,23072757.680052
32768,8,80,0.0,23075130.46606
32768,8,80,0.4,23106518.875386998
32768,8,80,0.8,23129062.993270338
32768,8,80,0.99,21946207.321753
32768,8,100,0.0,22457945.088422
32768,8,100,0.4,22991269.928596664
32768,8,100,0.8,23127236.803774666
32768,8,100,0.99,23071736.477800336
32768,32,0,0.0,22072964.76922967
32768,32,0,0.4,21962294.777812667
32768,32,0,0.8,21968642.436701335
32768,32,0,0.99,22011819.423349667
32768,32,20,0.0,22035786.464977335
32768,32,20,0.4,22021232.43397467
32768,32,20,0.8,22040535.712633338
32768,32,20,0.99,21991108.665203333
32768,32,40,0.0,22009100.791895
32768,32,40,0.4,22001280.31703967
32768,32,40,0.8,21186269.592026
32768,32,40,0.99,22009500.949519668
32768,32,60,0.0,22023087.395121332
32768,32,60,0.4,21784011.091724332
32768,32,60,0.8,22006001.948321
32768,32,60,0.99,22025974.713873
32768,32,80,0.0,22049600.82304867
32768,32,80,0.4,21982095.180200666
32768,32,80,0.8,22019151.721755337
32768,32,80,0.99,22047281.703072336
32768,32,100,0.0,21963938.30255333
32768,32,100,0.4,22023732.441976666
32768,32,100,0.8,22045055.971394334
32768,32,100,0.99,22046852.955021
32768,128,0,0.0,18550673.102144003
32768,128,0,0.4,18548581.053734668
32768,128,0,0.8,18577530.525481667
32768,128,0,0.99,18510606.58800867
