warehouses,threads,cross,servers,tput
64,8,40,8,41.102533333333334
64,8,60,2,30.0736
64,8,60,4,16.309900000000003
64,8,60,8,33.71523333333334
64,8,80,2,29.319266666666664
64,8,80,4,13.391516666666666
64,8,80,8,27.654799999999998
64,8,100,2,28.933999999999997
64,8,100,4,13.103623333333333
64,8,100,8,23.962566666666664
64,16,0,2,51.945433333333334
64,16,0,4,62.2258
64,16,0,8,133.73666666666668
64,16,20,2,38.2402
64,16,20,4,26.353033333333332
64,16,20,8,63.10336666666668
64,16,40,2,37.85006666666666
64,16,40,4,19.2541
64,16,40,8,48.63116666666667
64,16,60,2,38.055
64,16,60,4,13.735743333333334
64,16,60,8,37.68386666666667
64,16,80,2,25.907066666666665
64,16,80,4,14.243563333333334
64,16,80,8,30.198666666666668
64,16,100,2,29.085533333333334
64,16,100,4,12.249453333333333
64,16,100,8,26.079333333333334
128,1,0,4,11.283266666666668
128,1,0,8,24.648
128,1,20,4,10.30184
128,1,20,8,15.374
128,1,40,4,9.645729999999999
128,1,40,8,14.4756
128,1,60,4,9.383706666666667
128,1,60,8,13.259
128,1,80,4,9.263300000000001
128,1,80,8,13.593366666666666
128,1,100,4,8.816613333333335
128,1,100,8,12.637166666666667
128,2,0,4,15.729266666666668
128,2,0,8,37.67763333333333
128,2,20,4,13.284133333333335
128,2,20,8,17.9517
128,2,40,4,12.498600000000001
128,2,40,8,14.207033333333333
128,2,60,4,11.8835
128,2,60,8,14.1656
128,2,80,4,11.324333333333334
128,2,80,8,12.576433333333334
128,2,100,4,11.589366666666669
128,2,100,8,14.823933333333335
128,4,0,4,24.561566666666668
128,4,0,8,44.29583333333334
128,4,20,4,22.737866666666665
128,4,20,8,23.27036666666667
128,4,40,4,21.398366666666664
128,4,40,8,21.747433333333333
128,4,60,4,20.091833333333334
128,4,60,8,20.644266666666667
128,4,80,4,19.608500000000003
128,4,80,8,18.6563
128,4,100,4,18.71773333333333
128,4,100,8,17.764266666666668
128,8,0,4,32.4547
128,8,0,8,45.5054
128,8,20,4,28.151600000000002
128,8,20,8,20.9649
128,8,40,4,26.615333333333336
128,8,40,8,19.015933333333333
128,8,60,4,25.687866666666668
128,8,60,8,17.715766666666667
128,8,80,4,22.7342
128,8,80,8,16.803433333333334
128,8,100,4,22.097400000000004
128,8,100,8,15.234533333333331
128,16,0,4,29.898666666666667
128,16,0,8,45.698766666666664
128,16,20,4,27.226066666666668
128,16,20,8,21.587833333333332
128,16,40,4,26.81486666666667
128,16,40,8,17.508066666666668
128,16,60,4,24.836333333333332
128,16,60,8,18.17573333333333
128,16,80,4,24.433666666666667
128,16,80,8,16.05463333333333
128,16,100,4,21.531833333333328
128,16,100,8,15.51
256,1,0,8,16.789666666666665
256,1,20,8,15.734499999999999
256,1,40,8,14.3773
256,1,60,8,14.278199999999998
256,1,80,8,13.6883
256,1,100,8,13.621066666666666
256,2,0,8,21.806366666666666
