alg,threads,record_size,req_per_query,total_count,read_ratio,zipf_theta,tput
2PL,1,32.0,10.0,512000.0,0.0,0.4,176694.0
2PL,1,32.0,10.0,512000.0,0.0,0.8,220737.0
2PL,1,32.0,10.0,512000.0,0.0,0.99,318469.3333333333
2PL,1,32.0,10.0,512000.0,0.2,0.0,171138.33333333334
2PL,1,32.0,10.0,512000.0,0.2,0.4,166357.0
2PL,1,32.0,10.0,512000.0,0.2,0.8,220152.33333333334
2PL,1,32.0,10.0,512000.0,0.2,0.99,323534.6666666667
2PL,1,32.0,10.0,512000.0,0.6,0.0,162423.66666666666
2PL,1,32.0,10.0,512000.0,0.6,0.4,173166.66666666666
2PL,1,32.0,10.0,512000.0,0.6,0.8,217928.33333333334
2PL,1,32.0,10.0,512000.0,0.6,0.99,306887.3333333333
2PL,1,32.0,10.0,512000.0,1.0,0.0,172350.33333333334
2PL,1,32.0,10.0,512000.0,1.0,0.4,181656.66666666666
2PL,1,32.0,10.0,512000.0,1.0,0.8,230154.0
2PL,1,32.0,10.0,512000.0,1.0,0.99,346475.0
2PL,1,32.0,10.0,2048000.0,0.0,0.0,154252.66666666666
2PL,1,32.0,10.0,2048000.0,0.0,0.4,149339.0
2PL,1,32.0,10.0,2048000.0,0.0,0.8,204943.33333333334
2PL,1,32.0,10.0,2048000.0,0.0,0.99,267555.0
