alg,bench,thread_count,warehouse_count,tput
Hekaton,TPCC,28,32.0,2993038.6666666665
Hekaton,TPCC,28,64.0,2901253.6666666665
Hekaton,TPCC,28,128.0,2888655.0
Hekaton,TPCC,28,256.0,2855823.0
Hekaton,TPCC-FULL,1,1.0,70877.66666666667
Hekaton,TPCC-FULL,1,2.0,68217.0
Hekaton,TPCC-FULL,1,4.0,64036.666666666664
Hekaton,TPCC-FULL,1,8.0,60152.666666666664
Hekaton,TPCC-FULL,1,16.0,53964.0
Hekaton,TPCC-FULL,1,32.0,50184.0
Hekaton,TPCC-FULL,1,64.0,49860.666666666664
Hekaton,TPCC-FULL,1,128.0,46998.333333333336
Hekaton,TPCC-FULL,1,256.0,46606.666666666664
Hekaton,TPCC-FULL,2,1.0,82406.0
Hekaton,TPCC-FULL,2,2.0,138305.0
Hekaton,TPCC-FULL,2,4.0,133844.0
Hekaton,TPCC-FULL,2,8.0,124428.0
Hekaton,TPCC-FULL,2,16.0,116637.0
Hekaton,TPCC-FULL,2,32.0,107577.0
Hekaton,TPCC-FULL,2,64.0,101527.0
Hekaton,TPCC-FULL,2,128.0,96994.0
Hekaton,TPCC-FULL,2,256.0,94493.0
Hekaton,TPCC-FULL,4,1.0,97555.0
Hekaton,TPCC-FULL,4,2.0,181109.0
Hekaton,TPCC-FULL,4,4.0,256192.33333333334
Hekaton,TPCC-FULL,4,8.0,240030.0
Hekaton,TPCC-FULL,4,16.0,223277.66666666666
Hekaton,TPCC-FULL,4,32.0,203104.0
Hekaton,TPCC-FULL,4,64.0,185951.33333333334
Hekaton,TPCC-FULL,4,128.0,185569.66666666666
Hekaton,TPCC-FULL,4,256.0,180733.33333333334
Hekaton,TPCC-FULL,8,1.0,100429.0
Hekaton,TPCC-FULL,8,2.0,205526.0
Hekaton,TPCC-FULL,8,4.0,326127.0
Hekaton,TPCC-FULL,8,8.0,442801.0
Hekaton,TPCC-FULL,8,16.0,409455.0
Hekaton,TPCC-FULL,8,32.0,371729.0
Hekaton,TPCC-FULL,8,64.0,357895.0
Hekaton,TPCC-FULL,8,128.0,349982.0
Hekaton,TPCC-FULL,8,256.0,330438.0
Hekaton,TPCC-FULL,16,1.0,99567.33333333333
Hekaton,TPCC-FULL,16,2.0,209899.0
Hekaton,TPCC-FULL,16,4.0,379817.0
Hekaton,TPCC-FULL,16,8.0,604107.0
Hekaton,TPCC-FULL,16,16.0,780932.3333333334
Hekaton,TPCC-FULL,16,32.0,611578.0
Hekaton,TPCC-FULL,16,64.0,689922.0
Hekaton,TPCC-FULL,16,128.0,665260.0
Hekaton,TPCC-FULL,16,256.0,655699.3333333334
Hekaton,TPCC-FULL,28,1.0,96071.66666666667
Hekaton,TPCC-FULL,28,2.0,205970.0
Hekaton,TPCC-FULL,28,4.0,398056.3333333333
Hekaton,TPCC-FULL,28,8.0,708388.3333333334
Hekaton,TPCC-FULL,28,16.0,1023483.3333333334
Hekaton,TPCC-FULL,28,32.0,1229802.0
Hekaton,TPCC-FULL,28,64.0,718397.0
Hekaton,TPCC-FULL,28,128.0,1123165.0
Hekaton,TPCC-FULL,28,256.0,1096923.6666666667
MOCC,TPCC-FULL,4,1.0,94433.69490535474
MOCC,TPCC-FULL,4,2.0,186018.98438251662
MOCC,TPCC-FULL,4,4.0,351698.03814034304
MOCC,TPCC-FULL,4,8.0,322104.6456202105
MOCC,TPCC-FULL,4,16.0,346756.630123952
MOCC,TPCC-FULL,4,32.0,343117.3645094598
MOCC,TPCC-FULL,4,64.0,349859.0340381631
MOCC,TPCC-FULL,4,128.0,347827.72172278276
MOCC,TPCC-FULL,4,256.0,345549.6343998315
MOCC,TPCC-FULL,8,1.0,93335.78330883359
MOCC,TPCC-FULL,8,2.0,184998.32766908503
MOCC,TPCC-FULL,8,4.0,353031.7745943962
MOCC,TPCC-FULL,8,8.0,635508.6105445664
MOCC,TPCC-FULL,8,16.0,635944.2572240945
MOCC,TPCC-FULL,8,32.0,623330.6542498531
MOCC,TPCC-FULL,8,64.0,617821.8884477821
MOCC,TPCC-FULL,8,128.0,623625.8073427086
MOCC,TPCC-FULL,8,256.0,628437.642276694
MOCC,TPCC-FULL,16,1.0,76048.36975815121
MOCC,TPCC-FULL,16,2.0,185098.58234750983
MOCC,TPCC-FULL,16,4.0,333598.9653385067
MOCC,TPCC-FULL,16,8.0,631018.9564771019
MOCC,TPCC-FULL,16,16.0,1181697.479316392
MOCC,TPCC-FULL,16,32.0,1208438.4656153438
MOCC,TPCC-FULL,16,64.0,945000.7846269807
MOCC,TPCC-FULL,16,128.0,1153858.628080386
MOCC,TPCC-FULL,16,256.0,1191931.5806841932
MOCC,TPCC-FULL,28,1.0,84128.52935735321
MOCC,TPCC-FULL,28,2.0,180636.77696556365
MOCC,TPCC-FULL,28,4.0,331507.00159665075
MOCC,TPCC-FULL,28,8.0,611131.4886851131
MOCC,TPCC-FULL,28,16.0,1208088.3760224553
MOCC,TPCC-FULL,28,32.0,2034478.055219448
MOCC,TPCC-FULL,28,64.0,1978339.099942334
MOCC,TPCC-FULL,28,128.0,2030986.4401355989
MOCC,TPCC-FULL,28,256.0,1823627.0637293628
Silo,TPCC,1,1.0,304829.0
Silo,TPCC,1,2.0,268697.3333333333
Silo,TPCC,1,4.0,235429.0
Silo,TPCC,1,8.0,208358.0
Silo,TPCC,1,16.0,195838.66666666666
Silo,TPCC,1,32.0,183556.66666666666
Silo,TPCC,1,64.0,177379.0
Silo,TPCC,1,128.0,169075.33333333334
Silo,TPCC,1,256.0,165492.66666666666
Silo,TPCC,2,1.0,387184.0
Silo,TPCC,2,2.0,577424.0
Silo,TPCC,2,4.0,517994.0
Silo,TPCC,2,8.0,448470.0
Silo,TPCC,2,16.0,402031.0
Silo,TPCC,2,32.0,384838.0
Silo,TPCC,2,64.0,364036.0
Silo,TPCC,2,128.0,353100.0
Silo,TPCC,2,256.0,340874.0
Silo,TPCC,4,1.0,426754.0
Silo,TPCC,4,2.0,811288.0
Silo,TPCC,4,4.0,1009238.3333333334
Silo,TPCC,4,8.0,895773.0
Silo,TPCC,4,16.0,796155.0
Silo,TPCC,4,32.0,718246.6666666666
Silo,TPCC,4,64.0,719324.3333333334
Silo,TPCC,4,128.0,688718.0
Silo,TPCC,4,256.0,671805.6666666666
Silo,TPCC,8,1.0,456714.0
Silo,TPCC,8,2.0,888348.0
Silo,TPCC,8,4.0,1506443.0
Silo,TPCC,8,8.0,1771669.0
Silo,TPCC,8,16.0,1576514.0
Silo,TPCC,8,32.0,1465943.0
Silo,TPCC,8,64.0,1410682.0
Silo,TPCC,8,128.0,1382517.0
Silo,TPCC,8,256.0,1324464.0
Silo,TPCC,16,1.0,487918.0
Silo,TPCC,16,2.0,944936.0
Silo,TPCC,16,4.0,1629102.0
Silo,TPCC,16,8.0,2713084.0
Silo,TPCC,16,16.0,3120634.6666666665
Silo,TPCC,16,32.0,2879438.3333333335
Silo,TPCC,16,64.0,2785772.6666666665
Silo,TPCC,16,128.0,2668538.6666666665
Silo,TPCC,16,256.0,2635880.0
Silo,TPCC,28,1.0,507380.0
Silo,TPCC,28,2.0,993502.3333333334
Silo,TPCC,28,4.0,1736971.6666666667
Silo,TPCC,28,8.0,3015427.6666666665
Silo,TPCC,28,16.0,4531118.0
Silo,TPCC,28,32.0,4997179.0
Silo,TPCC,28,64.0,4791170.0
Silo,TPCC,28,128.0,4628390.333333333
Silo,TPCC,28,256.0,4508756.0
Silo,TPCC-FULL,1,1.0,92084.66666666667
Silo,TPCC-FULL,1,2.0,87114.33333333333
Silo,TPCC-FULL,1,4.0,82877.33333333333
Silo,TPCC-FULL,1,8.0,80326.0
Silo,TPCC-FULL,1,16.0,72112.0
Silo,TPCC-FULL,1,32.0,67053.66666666667
Silo,TPCC-FULL,1,64.0,62312.666666666664
Silo,TPCC-FULL,1,128.0,57735.666666666664
