nnodes,#WH,dist,alg,tp
16,1,70,Calvin,19278.054717701987
16,1,80,2pl,10178.262453301397
16,1,80,Calvin,20814.729020576127
16,1,90,2pl,21458.496703780784
16,1,90,Calvin,24163.168890487203
16,1,100,2pl,14559.845133578383
16,1,100,Calvin,33220.98758837037
16,2,0,2pl,1978.1792887792628
16,2,0,Calvin,252298.1048665567
16,2,10,2pl,126.94838264199662
16,2,10,Calvin,41153.48560959043
16,2,20,2pl,118078.01452446898
16,2,20,Calvin,49532.551341808554
16,2,30,2pl,1509.3154547982688
16,2,30,Calvin,43899.1999143138
16,2,40,2pl,2290.3587738627352
16,2,40,Calvin,31781.417131879396
16,2,50,2pl,2309.6680396528996
16,2,50,Calvin,39519.43509839102
16,2,60,2pl,11361.427015450588
16,2,60,Calvin,43013.001360702896
16,2,70,2pl,13138.798582194251
16,2,70,Calvin,41850.58726089111
16,2,80,2pl,15136.342649150394
16,2,80,Calvin,40990.42974054411
16,2,90,2pl,20151.98268051392
16,2,90,Calvin,40726.98606882976
16,2,100,2pl,18265.29186061844
