nnodes,#WH,dist,alg,tp
2,32,100,2pl,2371.812013303353
2,32,100,Calvin,28751.759702716623
2,64,0,2pl,9560.053837770398
2,64,0,Calvin,39915.36856521739
2,64,10,2pl,6923.166503715092
2,64,10,Calvin,39799.2088235617
2,64,20,2pl,6830.832128168863
2,64,20,Calvin,39767.80905797101
2,64,30,2pl,56078.11117747028
2,64,30,Calvin,39471.63656126483
2,64,40,2pl,5790.92449509506
2,64,40,Calvin,32295.524731452704
2,64,50,2pl,4290.427056173964
2,64,50,Calvin,35359.98838213743
2,64,60,2pl,5088.712445687549
2,64,60,Calvin,35136.476348872784
2,64,70,2pl,96509.99090761568
2,64,70,Calvin,33869.59711674718
2,64,80,2pl,40856.81881313344
2,64,80,Calvin,32047.94935861856
2,64,90,2pl,4447.148035454763
2,64,90,Calvin,27496.415206430636
2,64,100,2pl,53998.45956276814
2,64,100,Calvin,29763.237852173912
2,128,0,2pl,9354.561295207819
2,128,0,Calvin,39675.27822222222
2,128,10,2pl,7079.234662276562
2,128,10,Calvin,32042.48
2,128,20,2pl,7019.940571843167
2,128,20,Calvin,40208.205444444444
2,128,30,2pl,3140.8818270833335
2,128,30,Calvin,41252.63166666667
2,128,40,2pl,1555.861312077701
2,128,40,Calvin,-2.0
2,128,50,2pl,5255.8529223551
2,128,50,Calvin,-2.0
2,128,60,2pl,6004.99097
2,128,60,Calvin,40990.62138888889
2,128,70,2pl,2373.1893536470593
2,128,70,Calvin,39352.41722222222
2,128,80,2pl,5203.4978201738495
2,128,80,Calvin,38639.607777777775
2,128,90,2pl,3833.848015857977
2,128,90,Calvin,34113.745
2,128,100,2pl,3552.511479955238
2,128,100,Calvin,34084.95
4,1,0,2pl,58.11210624295173
4,1,0,Calvin,50640.51418290014
4,1,10,2pl,10474.135540985126
4,1,10,Calvin,34565.851315047876
4,1,20,2pl,105.98710154690879
4,1,20,Calvin,20715.017100349596
4,1,30,2pl,153.60401468049955
4,1,30,Calvin,24142.827250721995
4,1,40,2pl,627.9195075643639
4,1,40,Calvin,17515.777663311837
4,1,50,2pl,461.8191691840532
4,1,50,Calvin,25282.55028368293
4,1,60,2pl,1177.9374266512325
4,1,60,Calvin,20729.950756002054
4,1,70,2pl,336.8900547613704
4,1,70,Calvin,30791.23911069539
4,1,80,2pl,260.32120861461914
4,1,80,Calvin,18457.07993654811
4,1,90,2pl,1598.6177184300257
4,1,90,Calvin,18496.791622214623
4,1,100,2pl,1353.817030669479
4,1,100,Calvin,20540.58096719676
4,2,0,2pl,3051.38747907646
4,2,0,Calvin,64085.65751120562
4,2,10,2pl,716.044750206659
4,2,10,Calvin,44918.29348392468
4,2,20,2pl,694.0917344579183
4,2,20,Calvin,47244.500517908506
