Alg,#WH,#Distributed,#Threads,Throughput
AriaFB-1,4,90,8,14346.5
AriaFB-1,4,90,12,16034.433333333334
AriaFB-1,4,100,2,5435.833333333333
AriaFB-1,4,100,4,10270.933333333334
AriaFB-1,4,100,8,14351.633333333333
AriaFB-1,4,100,12,15662.766666666668
AriaFB-1,8,0,2,5465.066666666667
AriaFB-1,8,0,4,11072.800000000001
AriaFB-1,8,0,8,17398.566666666666
AriaFB-1,8,0,12,20065.033333333333
AriaFB-1,8,10,2,5465.133333333334
AriaFB-1,8,10,4,11095.333333333334
AriaFB-1,8,10,8,17441.3
AriaFB-1,8,10,12,20262.600000000002
AriaFB-1,8,20,2,5491.333333333333
AriaFB-1,8,20,4,11171.466666666667
AriaFB-1,8,20,8,17405.733333333334
AriaFB-1,8,20,12,19891.533333333336
AriaFB-1,8,30,2,5508.266666666666
AriaFB-1,8,30,4,11114.333333333334
AriaFB-1,8,30,8,17342.899999999998
AriaFB-1,8,30,12,20117.766666666666
AriaFB-1,8,40,2,5457.766666666666
AriaFB-1,8,40,4,11031.300000000001
