stratified_term,sample_ratio,random,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
zipf,0.85,19,star_ycsb_zipf,0.0,0.0,0.0031886190922775226,0.9641920557079284,0.9655816381422324,0.954997271700647,0.004588734041426985
threads,0.80,65,cicada-Cicada_ycsb_threads,0.0,0.0,0.0016454633402263052,0.9228232541022933,0.9251352445847927,0.9099493269874168,0.009951313701627969
WH,0.20,53,mysql_tpcc_WH,0.0,0.0,0.04629843716422005,0.998218669377621,0.9988986934886062,0.9813186218384615,0.14920067351684782
zipf_theta,0.05,46,cicada-Cicada_ycsb_zipf_theta,1.0,0.2222222222222222,6.783634389539994e-05,0.9228232541022933,0.9590843494168342,0.7693915915916467,0.09262382145561325
clients,0.50,70,janus-Janus_tpcc_clients,0.0,0.09285714285714286,0.041147892196475015,0.955801103792088,0.9586526173239983,0.8810925129392402,0.25323674416444863
replica,0.35,9,janus-Janus_tpcc_replica,0.0,0.1261904761904762,0.028175702902673322,0.955801103792088,0.9651189661461657,0.7481950449756637,0.26123915660504726
shards,0.75,58,janus-Janus_tpcc_shards,0.0,0.014285714285714285,0.0026537628059635915,0.955801103792088,0.9575149780031589,0.9157940726336323,0.1115486529114624
zipf,0.25,37,herd_ycsb_zipf,0.0,1.0,0.009474385980442257,0.9795559629902447,0.9809072335610426,0.9766310704657688,0.018065196644832637
num_keys,0.20,40,herd_ycsb_num_keys,0.0,1.0,0.13006809035658867,0.9795559629902447,0.9784535798741383,0.9715943009973884,0.01172983605133937
partition_num,0.75,54,star_tpcc_partition_num,0.0,0.027777777777777776,0.010291624947229766,0.9891328938680841,0.9893788397351229,0.980849452736671,0.022609998140066163
threads,0.95,64,gam_tpcc_threads,0.0,0.0,0.003569633404910094,0.9571731790672277,0.9580501388198797,0.9226521822221256,0.032374282515511756
threads,0.60,7,gam_tpcc_threads,0.3333333333333333,0.027777777777777776,0.029922682231695502,0.9571731790672277,0.9693830953055294,0.885999772868216,0.053020251451413536
warehouses,0.35,58,gam_tpcc_warehouses,0.0,0.0,0.01131518444737197,0.9571731790672277,0.9735663048362337,0.8421324848794438,0.19840016477415245
keys,0.55,26,tapir_ycsb_keys,1.0,0.125,0.009041720751063992,0.9635074374070052,0.9699412113228312,0.9408862259657508,0.12216155391796024
nShard,0.75,73,tapir_ycsb_nShard,0.0,0.0,0.005229469988420804,0.9635074374070052,0.9639563926006784,0.9531062772046375,0.10650304112256759
keys,0.95,80,tapir_ycsb_keys,0.0,0.0,0.007636453424148898,0.9635074374070052,0.9626126616489045,0.9722133969455923,0.03705072147999233
Distributed,0.90,92,aria-Aria_tpcc_Distributed,0.0,0.0,0.0006518336695471305,0.9999855166700965,0.9999866534428212,0.9999715734235209,0.0011028472100179654
Distributed,0.50,33,aria-Aria_tpcc_Distributed,0.0,0.0,0.0753392864534046,0.9999855166700965,0.9999921384620651,0.9999623394755477,0.003694883142864095
nrep,0.45,52,tapir_ycsb_nrep,0.0,0.0,0.041475712586201,0.9635074374070052,0.9575261719379907,0.9330493517575279,0.197151467415847
servers,0.30,52,gam_tpcc_servers,0.0,0.0,0.02677157028956374,0.9571731790672277,0.9739975347054568,0.5504051454000107,0.42032009828135886
req_per_query,0.75,44,cicada-Cicada_ycsb_req_per_query,0.0,0.0,0.006052980336325314,0.9228232541022933,0.9248571523488748,0.9126767290687943,0.011866108142137791
WH,0.85,65,calvin-Calvin_tpcc_WH,0.0,0.0,0.012821832411290798,0.9512803843365047,0.9554154727653081,0.8794321379498056,0.1018901455946703
partition_num,0.70,19,star_ycsb_partition_num,0.0,0.03333333333333333,0.010380444516995296,0.9641920557079284,0.9666552975395243,0.9514750090366945,0.005912222618178858
cross,0.55,74,star_ycsb_cross,0.0,0.1,0.009029331284178377,0.9641920557079284,0.9662285159854338,0.9587006213386137,0.006684588085137668
cross_warehouse,0.90,28,drtm_tpcc_cross_warehouse,0.0,0.0,0.0036827407329168053,0.9404530615383303,0.9411151312432627,0.9079237288857318,0.0609756487563714
node,0.95,2,drtm_tpcc_node,0.0,0.010416666666666666,0.003381999628147498,0.9404530615383303,0.9397953925887967,0.91304232416749,0.04105363441556545
