stratified_term,sample_ratio,random,alg,num_of_terms_changed,num_turning_mismatch,avg_diff_per_var,r2_full,r2_sample,r2_unsample,avg_frechet_dist
min_wal_size,0.20,84,postgresql_tpcc_min_wal_size,1.0,1.008695652173913,0.31821102085569236,0.998519743400367,0.9997011318559171,0.9879571169687393,0.12623238999651593
min_wal_size,0.70,51,postgresql_tpcc_min_wal_size,0.0,0.0,0.006683282978477423,0.998519743400367,0.9985561132928182,0.9983488603999421,0.005573569339698159
shared_buffer,0.85,29,postgresql_tpcc_shared_buffer,0.0,0.0,0.005086145990477964,0.998519743400367,0.9984543869770982,0.99746032353077,0.006201976317155706
WH,0.90,25,calvin-Calvin_tpcc_WH,0.0,0.0,0.01061107654257229,0.805957535218111,0.8062935564060161,0.784420516384539,0.04738264375999013
partition_num,0.90,89,star_tpcc_partition_num,0.0,0.027777777777777776,0.02044615748307764,0.9891328938680841,0.9900894241631809,0.9840844089123784,0.04091268400223965
num_keys,0.45,31,herd_ycsb_num_keys,0.0,0.0,0.009484600955985467,0.9795559629902447,0.9782636811012865,0.9901934684178401,0.0028923717455250353
threads,0.85,9,silo_ycsb_threads,0.0,0.0,0.0190055210812948,0.9966707859675427,0.9974087903523537,0.9863596351204847,0.04617628674056995
value_size,0.55,47,herd_ycsb_value_size,0.0,0.0,0.024084925444724736,0.9795559629902447,0.9804654870942847,0.9735050335475876,0.0033471527568864623
threads,0.60,72,star_tpcc_threads,0.0,0.3888888888888889,0.02774705237101321,0.9891328938680841,0.9892356654690437,0.9592571255324411,0.14545911785409563
keys,0.95,64,tapir_ycsb_keys,0.0,1.0,0.0028040592656214947,0.9635074374070052,0.9664018244689829,0.9429918042407944,0.04849032744035431
ReadRatio,0.95,78,tapir_ycsb_ReadRatio,1.0,0.125,0.005611473473742107,0.9635074374070052,0.9627182989265205,0.9584518382400407,0.07558465644324697
threads,0.90,29,cicada-Cicada_ycsb_threads,0.0,0.0,0.009089419419416989,0.9228232541022933,0.9285993111832419,0.9115254385857523,0.016381008128229686
threads,0.55,40,star_tpcc_threads,0.0,0.3888888888888889,0.030497355668563004,0.9891328938680841,0.9941193261997593,0.9602278064059149,0.24450780506570424
Distributed,0.90,25,aria-Aria_tpcc_Distributed,0.0,0.0,0.00010906773659036251,0.9960699191676947,0.9960505863630015,0.9962150558212024,0.004014748460029711
dist,0.90,67,calvin-Calvin_tpcc_dist,0.0,0.0,0.00463518740709902,0.805957535218111,0.8086122176852187,0.7845705633492035,0.06504405600240049
cross,0.50,88,star_tpcc_cross,0.6666666666666666,0.3611111111111111,0.05475707379269118,0.9891328938680841,0.9962690120921359,0.8183312537349401,0.0
scale_factor,0.85,25,drtm_tpcc_scale_factor,0.0,0.010416666666666666,0.01929459869026323,0.9404530615383303,0.9456455720886899,0.904583755417993,0.07022828994904236
total_count,0.55,83,cicada-Cicada_ycsb_total_count,0.0,0.0,0.00015755044530341156,0.9228232541022933,0.9259272162455312,0.9073664179259464,0.02468397851316307
nclients,0.50,10,tapir_ycsb_nclients,1.0,1.0,0.0382911839292345,0.9635074374070052,0.9774257499673265,0.9325984042939129,0.3261055852314506
node,0.70,85,drtm_tpcc_node,0.0,0.020833333333333332,0.009639852510220768,0.9404530615383303,0.9523943991439053,0.9124685729454737,0.06087885630663938
remote,0.90,66,silo-Silo_tpcc_remote,0.0,0.03333333333333333,0.03318476366710647,0.9834710484572299,0.9829133272887857,0.9705950826128605,0.02840523112984911
node,0.65,63,drtm_tpcc_node,0.0,0.020833333333333332,0.023709047975053427,0.9404530615383303,0.9486497305847305,0.9246151731538222,0.10730134927293196
num_chunk,0.55,1,mysql_tpcc_num_chunk,0.0,0.0,0.005232665572296402,0.998218669377621,0.9985987963745444,0.9980654324441073,0.01602118989998594
warehouse,0.75,6,silo-Silo_tpcc_warehouse,0.5,0.5222222222222221,0.09578621512698737,0.9834710484572299,0.9826798170042772,0.9664336979969559,0.045095979092503624
threads,0.20,99,janus-Janus_tpcc_threads,0.75,0.3249999999999999,0.17363678544252809,0.955801103792088,0.9976685945482957,0.36556897758417606,0.380133074163562
shards,0.55,14,janus-Janus_tpcc_shards,0.0,0.09404761904761905,0.01104268342243727,0.955801103792088,0.958385126627435,0.7697320089125184,0.2972116142543254
terminal,0.30,51,mysql_tpcc_terminal,0.0,0.0,0.0948481038432254,0.998218669377621,0.999055114146971,0.9932137809888965,0.31089738591320526
servers,0.80,47,star_ycsb_servers,0.0,0.0,0.008233071741655329,0.9641920557079284,0.9642719513912645,0.9587550682850808,0.007996263725014727
shards,0.75,8,janus-Janus_tpcc_shards,0.0,0.04880952380952381,0.005191802286998164,0.955801103792088,0.9606592915717951,0.892439770124444,0.16998259146513617
record_size,0.40,9,cicada-Cicada_ycsb_record_size,0.0,0.0,0.002148292331995094,0.9228232541022933,0.9330976260255764,0.9195029791377645,0.04570493398617808
max_wal_size,0.50,20,postgresql_tpcc_max_wal_size,0.0,0.0,0.055281718071276575,0.998519743400367,0.998822993200067,0.9970529861791652,0.012632241787860043
threads,0.35,20,aria-Aria_tpcc_threads,0.0,0.0,0.0016951587346519803,0.9960699191676947,0.9966345840607614,0.994422140376657,0.008177406555984756
threads,0.75,19,silo_ycsb_threads,0.5,0.03333333333333333,0.02309555158821204,0.9966707859675427,0.998960131996328,0.9642213034762743,0.0674491055448136
zipf,0.45,12,herd_ycsb_zipf,0.0,1.0,0.028352470196139734,0.9795559629902447,0.9794464366746245,0.9788386077450066,0.018174274036168198
value_size,0.30,8,herd_ycsb_value_size,0.0,0.0,0.04430801365627535,0.9795559629902447,0.9821332865197149,0.9727226553687642,0.018211260920196315
cross,0.70,75,gam_tpcc_cross,0.0,0.0,0.023756771543721397,0.9571731790672277,0.9723935525339585,0.9035495078125597,0.08744124199892267
cross,0.40,85,star_tpcc_cross,1.3333333333333333,0.3611111111111111,nan,0.9891328938680841,0.9954330451352327,0.8244390069421477,nan
value_size,0.20,14,herd_ycsb_value_size,0.0,0.0,0.023017710072582243,0.9795559629902447,0.9814561863536846,0.9879058018634328,0.007327285383350479
threads,0.95,59,cicada-Cicada_ycsb_threads,0.0,0.0,0.004974268588039482,0.9228232541022933,0.9251041526545682,0.9116835818294644,0.013624054198118716
WH,0.85,4,aria-Aria_tpcc_WH,0.0,0.0,9.292039095643023e-05,0.9960699191676947,0.9961377309426092,0.9955341219488151,0.007018862220062316
threads,0.25,77,cicada-Cicada_ycsb_threads,0.0,0.0,0.03407620934022479,0.9228232541022933,0.9400827491668808,0.9159961595927837,0.029810103229301423
req_per_query,0.70,67,cicada-Cicada_ycsb_req_per_query,0.0,0.0,0.00841257005488999,0.9228232541022933,0.9252268196139282,0.9089841827793738,0.008866219018439427
record_size,0.10,0,cicada-Cicada_ycsb_record_size,0.0,0.0,0.00663662002690471,0.9228232541022933,0.9518940212975264,0.814714392179805,0.13611460029948783
req_per_query,0.80,20,cicada-Cicada_ycsb_req_per_query,0.0,0.0,0.0056943924302993165,0.9228232541022933,0.9228632589047742,0.9200265971208799,0.005727172611664335
ReadRatio,0.95,94,tapir_ycsb_ReadRatio,1.0,0.125,0.00787690796972551,0.9635074374070052,0.9673166730722315,0.9426456884144113,0.12952022770707983
servers,0.60,72,gam_tpcc_servers,0.0,0.0,0.011567114608435092,0.9571731790672277,0.9779406342543052,0.9157021436370191,0.10049140258107582
total_count,0.65,73,cicada-Cicada_ycsb_total_count,0.0,0.0,0.0048704563088880215,0.9228232541022933,0.9276129400650042,0.9222689525847038,0.023264435406194318
record_size,0.75,87,cicada-Cicada_ycsb_record_size,0.0,0.0,0.007914491767221615,0.9228232541022933,0.9239981367701173,0.9118774285016616,0.01008426595869723
cross,0.25,87,star_ycsb_cross,0.0,0.1,0.043955244185243963,0.9641920557079284,0.9717415334779375,0.9560578851220323,0.016788365923186725
cross,0.35,88,star_ycsb_cross,0.0,0.1,0.024937101318874944,0.9641920557079284,0.9684993887921461,0.9594132390625534,0.016427934791892067
servers,0.85,23,star_ycsb_servers,0.0,0.06666666666666667,0.009278699352264802,0.9641920557079284,0.9693669718137511,0.9570268166213944,0.01190331969303963
num_chunk,0.45,10,mysql_tpcc_num_chunk,0.0,0.5,0.045123014196293,0.998218669377621,0.9982913047888118,0.9962236010335199,0.029372971168988453
threads,0.95,75,janus-Janus_tpcc_threads,0.0,0.034523809523809526,0.004219898613328048,0.955801103792088,0.957164000347167,0.9426111104773277,0.04816529341050973
scale_factor,0.30,75,drtm_tpcc_scale_factor,0.3333333333333333,0.029166666666666664,0.03535453101332279,0.9404530615383303,0.9733979833222606,0.739860838528365,0.23392113888843602
shared_buffer,0.55,72,postgresql_tpcc_shared_buffer,0.0,0.0,0.05750002877559923,0.998519743400367,0.9988920739801347,0.9975720522033298,0.015950727376923768
cross,0.20,38,star_ycsb_cross,0.0,0.13333333333333333,0.04475256919280718,0.9641920557079284,0.9790678445527696,0.9403336934863932,0.026639174750881768
clients,0.55,49,janus-Janus_tpcc_clients,0.0,0.07976190476190476,0.014501471608966768,0.955801103792088,0.9537519102349745,0.9178574575888175,0.14109215620114496
max_wal_size,0.45,81,postgresql_tpcc_max_wal_size,0.0,0.0,0.07709315633127267,0.998519743400367,0.9990308543595068,0.9976696115321997,0.012810624475838361
terminal,0.70,91,postgresql_tpcc_terminal,0.0,0.0,0.04334095521770831,0.998519743400367,0.9984015404316797,0.9978507321900584,0.010712221904913083
nnodes,0.15,10,calvin-Calvin_tpcc_nnodes,0.5,1.0,0.03643255846256195,0.805957535218111,0.899584556222998,,0.2523234045935713
